Testing Epoch: 103, Rp: 0.8372440583010954, R2: 0.4306361633460858, MAE: 3.105708839960595, RMSE: 5.023852260544657
Testing Epoch: 104, Rp: 0.8378807339131701, R2: 0.4360538135443157, MAE: 3.0910630199504663, RMSE: 4.99989347732319
Testing Epoch: 105, Rp: 0.8385157444039266, R2: 0.4414364781674137, MAE: 3.0765932318179687, RMSE: 4.9759751701867705
Testing Epoch: 106, Rp: 0.8391282763575277, R2: 0.44660178162972464, MAE: 3.062688217929197, RMSE: 4.952914123634365
Testing Epoch: 107, Rp: 0.8397411913676278, R2: 0.45177059232312844, MAE: 3.048646693419215, RMSE: 4.929729431449265
Testing Epoch: 108, Rp: 0.8403567319320008, R2: 0.45681934755662024, MAE: 3.034839511503339, RMSE: 4.906977491980149
Testing Epoch: 109, Rp: 0.8409945889906933, R2: 0.46186335630831643, MAE: 3.0207032972703343, RMSE: 4.884141106797603
Testing Epoch: 110, Rp: 0.8416133712569931, R2: 0.4668345411870005, MAE: 3.006756270872272, RMSE: 4.861529468639341
Testing Epoch: 111, Rp: 0.8422153817101037, R2: 0.47172228696639384, MAE: 2.993071157352651, RMSE: 4.839194347693054
Testing Epoch: 112, Rp: 0.8428215993160746, R2: 0.47649425827167025, MAE: 2.979763818497345, RMSE: 4.8172883672573
Testing Epoch: 113, Rp: 0.8434358228436023, R2: 0.48124881946280496, MAE: 2.9662789675507497, RMSE: 4.795362786854964
Testing Epoch: 114, Rp: 0.8440692113982042, R2: 0.48606606170300437, MAE: 2.9524605627212117, RMSE: 4.7730454365917545
Testing Epoch: 115, Rp: 0.8446835262456698, R2: 0.49078160018651185, MAE: 2.9388964398041244, RMSE: 4.751097726347693
Testing Epoch: 116, Rp: 0.8452783870089263, R2: 0.49530002210035684, MAE: 2.9258926038165276, RMSE: 4.729971920516023
Testing Epoch: 117, Rp: 0.8458919127063401, R2: 0.4998816109698234, MAE: 2.912753119581615, RMSE: 4.708453995831354
Testing Epoch: 118, Rp: 0.8465030642826649, R2: 0.5043744941466859, MAE: 2.8994754243727145, RMSE: 4.6872567553336815
Testing Epoch: 119, Rp: 0.8471138036987984, R2: 0.5087995376546209, MAE: 2.8862359132292568, RMSE: 4.666285459153876
Testing Epoch: 120, Rp: 0.8477129672509173, R2: 0.5131407139262769, MAE: 2.873331399366531, RMSE: 4.645619635512927
Testing Epoch: 121, Rp: 0.8482997029448762, R2: 0.517379809111387, MAE: 2.8607131427105474, RMSE: 4.625350659056442
Testing Epoch: 122, Rp: 0.8488848321298121, R2: 0.5215935681295497, MAE: 2.848132019035945, RMSE: 4.60511441301508
Testing Epoch: 123, Rp: 0.8494645143182539, R2: 0.5257258706714737, MAE: 2.8357307135111136, RMSE: 4.585182618475855
Testing Epoch: 124, Rp: 0.8500619999976515, R2: 0.5298191926584825, MAE: 2.823129040182937, RMSE: 4.5653530515517575
Testing Epoch: 125, Rp: 0.8506615272872801, R2: 0.5339558171215364, MAE: 2.8103941157714796, RMSE: 4.545225823706837
Testing Epoch: 126, Rp: 0.8512366369782678, R2: 0.5379439102170166, MAE: 2.7980172778424968, RMSE: 4.525736545202447
Testing Epoch: 127, Rp: 0.8518142412795489, R2: 0.5418956002109385, MAE: 2.786323695765015, RMSE: 4.5063420268044325
Testing Epoch: 128, Rp: 0.8523945694303998, R2: 0.5457805991436416, MAE: 2.7749213518974907, RMSE: 4.4871931057939145
Testing Epoch: 129, Rp: 0.8529830211040701, R2: 0.5496769018867707, MAE: 2.763314958598488, RMSE: 4.467906041193942
Testing Epoch: 130, Rp: 0.8535668174840236, R2: 0.5535415352279941, MAE: 2.751789383436907, RMSE: 4.448693142583593
Testing Epoch: 131, Rp: 0.8541266102250736, R2: 0.5572865308827122, MAE: 2.740442865811063, RMSE: 4.4299955225488565
Testing Epoch: 132, Rp: 0.854691072314457, R2: 0.5609889591428081, MAE: 2.7295736847931447, RMSE: 4.411432526399978
Testing Epoch: 133, Rp: 0.8552657298012223, R2: 0.5646505933083932, MAE: 2.7185220009633118, RMSE: 4.392996913784616
Testing Epoch: 134, Rp: 0.8558471173648015, R2: 0.5683107254589964, MAE: 2.7072891012344438, RMSE: 4.374491217988323
Testing Epoch: 135, Rp: 0.856416206994296, R2: 0.5719238159629261, MAE: 2.696035061257525, RMSE: 4.356146259882234
